INFO 2020-07-08 20:52:37,946 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 20:52:50,131 basehttp 124 "GET /xadmin/home/banner/ HTTP/1.1" 200 24337
INFO 2020-07-08 20:52:54,222 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 20:53:01,871 basehttp 124 "GET /xadmin/home/banner/add/ HTTP/1.1" 200 19873
INFO 2020-07-08 20:53:01,916 basehttp 124 "GET /static/xadmin/vendor/bootstrap-image-gallery/css/bootstrap-image-gallery.css HTTP/1.1" 200 3339
INFO 2020-07-08 20:53:01,931 basehttp 124 "GET /static/xadmin/vendor/load-image/load-image.js HTTP/1.1" 200 8309
INFO 2020-07-08 20:53:01,936 basehttp 124 "GET /static/xadmin/vendor/bootstrap-image-gallery/js/bootstrap-image-gallery.js HTTP/1.1" 200 15611
INFO 2020-07-08 20:53:05,970 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 20:53:05,995 basehttp 124 "GET /static/xadmin/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 304 0
INFO 2020-07-08 20:54:35,376 basehttp 124 "POST /xadmin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-07-08 20:54:39,481 basehttp 124 "GET /xadmin/home/banner/ HTTP/1.1" 200 28350
INFO 2020-07-08 20:54:39,559 basehttp 124 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 304 0
INFO 2020-07-08 20:54:39,564 basehttp 124 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 304 0
INFO 2020-07-08 20:54:39,582 basehttp 124 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 304 0
INFO 2020-07-08 20:54:39,583 basehttp 124 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 304 0
INFO 2020-07-08 20:54:39,584 basehttp 124 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 304 0
INFO 2020-07-08 20:54:39,588 basehttp 124 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 304 0
INFO 2020-07-08 20:54:39,589 basehttp 124 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 304 0
INFO 2020-07-08 20:54:39,628 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.mouse.js HTTP/1.1" 304 0
INFO 2020-07-08 20:54:39,628 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 304 0
INFO 2020-07-08 20:54:39,628 basehttp 124 "GET /static/xadmin/vendor/bootstrap/js/bootstrap.js HTTP/1.1" 304 0
INFO 2020-07-08 20:54:39,629 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.core.js HTTP/1.1" 304 0
INFO 2020-07-08 20:54:39,629 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.sortable.js HTTP/1.1" 304 0
INFO 2020-07-08 20:54:39,659 basehttp 124 "GET /static/xadmin/js/xadmin.main.js HTTP/1.1" 304 0
INFO 2020-07-08 20:54:39,661 basehttp 124 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.effect.js HTTP/1.1" 304 0
INFO 2020-07-08 20:54:39,662 basehttp 124 "GET /static/xadmin/js/xadmin.responsive.js HTTP/1.1" 304 0
INFO 2020-07-08 20:54:39,664 basehttp 124 "GET /static/xadmin/js/xadmin.plugin.themes.js HTTP/1.1" 304 0
INFO 2020-07-08 20:54:43,634 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 20:54:54,945 basehttp 124 "GET /xadmin/home/banner/add/ HTTP/1.1" 200 19873
INFO 2020-07-08 20:54:59,035 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 20:55:14,626 basehttp 124 "POST /xadmin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-07-08 20:55:18,804 basehttp 124 "GET /xadmin/home/banner/ HTTP/1.1" 200 28930
INFO 2020-07-08 20:55:22,913 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 20:55:32,184 basehttp 124 "GET /xadmin/home/banner/add/ HTTP/1.1" 200 19873
INFO 2020-07-08 20:55:36,289 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 20:55:49,824 basehttp 124 "POST /xadmin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-07-08 20:55:53,955 basehttp 124 "GET /xadmin/home/banner/ HTTP/1.1" 200 29510
INFO 2020-07-08 20:55:58,068 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 20:56:07,303 basehttp 124 "GET /xadmin/home/nav/ HTTP/1.1" 200 24900
INFO 2020-07-08 20:56:11,386 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 20:56:21,855 basehttp 124 "GET /xadmin/home/nav/add/ HTTP/1.1" 200 19189
INFO 2020-07-08 20:56:25,954 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 20:56:45,591 basehttp 124 "GET /xadmin/ HTTP/1.1" 200 14798
INFO 2020-07-08 20:56:49,505 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 217
ERROR 2020-07-08 20:56:49,507 basehttp 124 "GET /home/banner/ HTTP/1.1" 500 59
INFO 2020-07-08 20:56:49,685 basehttp 124 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7684
INFO 2020-07-08 20:56:52,485 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 217
INFO 2020-07-08 20:56:52,692 basehttp 124 "GET /media/banner/01.png HTTP/1.1" 200 737783
INFO 2020-07-08 20:56:52,705 basehttp 124 "GET /media/banner/02.png HTTP/1.1" 200 364808
INFO 2020-07-08 20:56:52,930 basehttp 124 "GET /media/banner/03.png HTTP/1.1" 200 745382
INFO 2020-07-08 21:00:30,982 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 217
INFO 2020-07-08 21:00:31,005 basehttp 124 "GET /media/banner/01.png HTTP/1.1" 304 0
INFO 2020-07-08 21:00:31,007 basehttp 124 "GET /media/banner/02.png HTTP/1.1" 304 0
INFO 2020-07-08 21:00:31,011 basehttp 124 "GET /media/banner/03.png HTTP/1.1" 304 0
INFO 2020-07-08 21:02:19,941 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 217
INFO 2020-07-08 21:02:19,963 basehttp 124 "GET /media/banner/03.png HTTP/1.1" 304 0
INFO 2020-07-08 21:02:19,965 basehttp 124 "GET /media/banner/01.png HTTP/1.1" 304 0
INFO 2020-07-08 21:02:19,968 basehttp 124 "GET /media/banner/02.png HTTP/1.1" 304 0
INFO 2020-07-08 21:05:41,391 basehttp 124 "GET /home/banner/ HTTP/1.1" 200 217
INFO 2020-07-08 21:14:42,164 basehttp 124 "GET /home/footer/ HTTP/1.1" 200 2
INFO 2020-07-08 21:14:56,734 basehttp 124 "GET /xadmin/home/nav/ HTTP/1.1" 200 24900
ERROR 2020-07-08 21:14:56,735 basehttp 124 "GET /xadmin/home/nav/ HTTP/1.1" 500 59
INFO 2020-07-08 21:14:57,490 basehttp 124 "GET /xadmin/home/nav/ HTTP/1.1" 200 24900
INFO 2020-07-08 21:14:57,543 basehttp 124 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 304 0
INFO 2020-07-08 21:14:57,548 basehttp 124 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 304 0
INFO 2020-07-08 21:14:57,553 basehttp 124 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 304 0
INFO 2020-07-08 21:14:57,555 basehttp 124 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 304 0
INFO 2020-07-08 21:14:57,565 basehttp 124 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 304 0
INFO 2020-07-08 21:14:57,568 basehttp 124 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 304 0
INFO 2020-07-08 21:14:57,575 basehttp 124 "GET /static/xadmin/css/xadmin.form.css HTTP/1.1" 304 0
INFO 2020-07-08 21:14:57,575 basehttp 124 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 304 0
